Strain	stx2 subytpe	stx2 gene accession (nt)	stx2 subunit A accession (aa)	stx2 subunit B accession (aa)	DOI Reference
EDL933	a	X07865.1	CAA30714.1	CAA30715.1	https://doi.org/10.3390/microorganisms9112374
EH250	b	AF043627	AAD12174.1	AAD12175.1	https://doi.org/10.3390/microorganisms9112374
031	c	L11079	AAA16362.1	AAA16363.1 	https://doi.org/10.3390/microorganisms9112374
C165-02	d	DQ059012	AAY63864.1	AAY63865	https://doi.org/10.3390/microorganisms9112374
S1191	e	M21534	AAA19189.1	AAA19190.1	https://doi.org/10.3390/microorganisms9112374
F08-101-31	f	AB472687	BAH86759.1	BAH86760.1	https://doi.org/10.3390/microorganisms9112374
7v	g	AY286000	AAP37403.1	AAP37404.1	https://doi.org/10.3390/microorganisms9112374
STEC299	h	CP022279 region: complement(4122529..4123764)	AUM09788.1	AUM09787.1	https://doi.org/10.3390/microorganisms9112374
CB10366	i	FN252457	CAX53241.1	CAX53242.1	https://doi.org/10.3390/microorganisms9112374
5447	j	MZ571121	ZN05543.1	QZN05544.1	https://doi.org/10.3390/microorganisms9112374
12GZSW01	k	KC339670.2	AGB13719.2	AGB13720.2	not published
FHI 1106-1092	l	AM904726	CAP17609.1	CAP17610.1	https://doi.org/10.3390/microorganisms9112374
03-3638	o	MZ229604	QZL10982.1	QZL10983.1	https://doi.org/10.1128/jcm.02229-21
E75_19	m	JAOZWX010000239(146..1105:1106-1117:1118..1381); stx2 subunit A locus_tag OJO68_25365; 12nt linker; stx2 subunit B locus_tag OJO68_25370 MCW3186100.1	MCW3186101.1	https://www.mdpi.com/2076-2607/9/11/2374/htm (ERX4245790 reads only); Assembly and blast for stx2 sequences from assembly GCA_025984515.1
